"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
1014744,"Low",1433,21.87,12,7,10,3,0
1014745,"Low",45,1.29,22,11,3,0,0
1014746,"Low",55,70.84,22,2,2,5,0
1014747,"Low",192,49.57,19,8,3,5,0
1014748,"Low",542,69.99,8,3,2,1,0
1014749,"Low",874,7.35,10,11,9,2,0
1014750,"Low",667,51.59,26,8,2,3,1
1014751,"Low",46,65.12,2,8,8,0,0
1014752,"Low",42,82.08,1,0,1,3,0
1014753,"High",6,67.75,12,9,5,0,0
1014754,"Low",388,11.02,27,0,5,4,0
1014755,"High",1293,77.51,24,5,9,5,0
1014756,"Low",1816,18.88,12,10,10,2,0
1014757,"High",1725,76.08,15,4,2,3,0
1014758,"Low",1179,77.29,12,0,8,5,0
1014759,"Low",329,0.14,19,8,9,0,0
1014760,"High",1211,44.38,14,6,3,0,0
1014761,"Low",188,87.15,19,10,1,4,0
1014762,"High",785,70.55,19,7,3,1,0
1014763,"Low",326,44.28,18,1,0,0,0
1014764,"Low",884,40.23,29,6,5,1,1
1014765,"Low",732,70.37,20,11,10,2,1
1014766,"Low",1692,52.46,17,6,7,1,0
1014767,"High",1043,51.84,9,9,6,5,0
1014768,"Low",1553,99.87,2,6,0,3,0
1014769,"Low",1740,8.78,12,3,8,0,0
1014770,"High",504,89.59,4,1,1,2,0
1014771,"High",492,18.94,21,3,10,0,0
1014772,"Low",1788,32.19,1,9,5,5,0
1014773,"Low",1315,80.16,28,5,1,3,1
1014774,"Low",1625,58.53,7,4,0,5,0
1014775,"High",1769,75.3,10,0,9,3,0
1014776,"Low",392,58.61,1,11,7,5,0
1014777,"Low",88,93.28,9,8,10,2,0
1014778,"High",1763,95.74,13,1,1,5,0
1014779,"High",1718,93.2,23,8,2,3,0
1014780,"Low",14,39.45,18,9,1,2,0
1014781,"High",116,58.6,30,10,10,3,0
1014782,"Low",1194,26.06,3,1,0,4,0
1014783,"High",1523,63.98,5,9,9,3,0
1014784,"Low",1401,22.1,19,0,5,5,0
1014785,"High",451,71.61,14,3,0,2,0
1014786,"Low",579,73.69,16,11,0,1,0
1014787,"High",956,20.15,19,8,2,4,0
1014788,"Low",480,26.82,13,6,6,5,0
1014789,"High",933,11.66,4,4,4,0,0
1014790,"High",1488,96.84,1,9,2,5,0
1014791,"High",1485,77.36,13,2,5,2,0
1014792,"Low",504,22.89,17,7,2,2,0
1014793,"High",115,48.06,5,7,6,0,0
1014794,"High",862,70.42,29,4,4,5,0
1014795,"High",737,78.45,20,0,0,3,0
1014796,"High",478,16.17,7,0,3,0,0
1014797,"Low",892,68.45,18,6,3,2,0
1014798,"Low",642,77.33,9,4,0,1,0
1014799,"Low",1315,55.33,6,4,8,3,0
1014800,"High",525,75.55,29,7,0,4,0
1014801,"High",1518,44.91,18,11,9,4,0
1014802,"Low",529,72.83,5,5,6,5,0
1014803,"High",48,90.74,14,11,2,2,0
1014804,"Low",1722,72.74,30,9,5,2,1
1014805,"High",1221,51.26,26,10,10,1,1
1014806,"Low",674,56.24,6,0,2,0,0
1014807,"Low",1220,75.72,7,5,1,0,0
1014808,"Low",1699,78.28,19,9,7,2,1
1014809,"High",455,94.97,27,0,5,5,0
1014810,"High",1767,37.88,26,7,1,1,0
1014811,"High",1673,73,2,0,7,4,0
1014812,"Low",688,47.87,27,5,2,3,0
1014813,"High",452,23.53,13,0,8,1,0
1014814,"Low",1702,76.63,3,10,9,2,0
1014815,"Low",1309,9.37,22,8,0,0,0
1014816,"High",818,33.58,29,4,7,2,0
1014817,"Low",1722,82.06,21,3,9,1,1
1014818,"Low",1166,50.02,2,2,2,2,0
1014819,"High",845,45.41,8,10,5,2,0
1014820,"High",875,39.67,1,4,8,5,0
1014821,"Low",304,43.19,19,7,2,4,0
1014822,"High",474,70.78,8,2,9,4,0
1014823,"Low",1346,47.58,17,4,3,4,0
1014824,"High",385,87.27,5,7,0,1,0
1014825,"High",609,31.37,29,3,9,4,1
1014826,"High",1132,60.92,30,9,9,2,1
1014827,"Low",1799,88.57,8,4,5,0,0
1014828,"Low",1572,27.57,21,1,9,0,1
1014829,"High",1143,95.94,14,5,3,5,0
1014830,"High",311,25.01,1,10,2,5,0
1014831,"High",932,40.54,19,1,0,2,0
1014832,"High",1699,60.31,16,11,9,4,0
1014833,"High",1206,74.67,20,6,3,5,0
1014834,"High",1601,40.5,9,5,9,1,0
1014835,"High",827,28.14,29,2,0,5,0
1014836,"Low",1769,80.13,13,0,7,4,0
1014837,"Low",574,13.56,29,3,8,2,1
1014838,"High",1704,82.55,4,9,4,0,0
1014839,"High",1504,57.95,6,0,10,3,0
1014840,"High",938,88.8,26,6,2,2,0
1014841,"High",298,89.6,17,8,2,5,0
1014842,"Low",1185,77.37,17,5,1,4,0
1014843,"High",1579,80.83,10,4,7,0,0
1014844,"High",1433,33.25,18,0,4,1,0
1014845,"Low",1442,69.2,1,10,6,0,0
1014846,"Low",1138,38.79,25,7,2,4,1
1014847,"Low",1627,84.85,16,5,5,5,0
1014848,"Low",1703,73.91,12,0,3,0,0
1014849,"Low",982,42.11,13,5,4,5,0
1014850,"Low",1182,19.6,9,5,0,4,0
1014851,"High",1561,5.28,3,10,0,1,0
1014852,"Low",82,66.24,30,3,2,5,0
1014853,"Low",1643,34.18,12,8,1,5,0
1014854,"Low",1321,64.13,21,9,10,5,1
1014855,"High",1218,47.06,26,10,3,0,0
1014856,"High",351,98.01,15,4,8,1,0
1014857,"High",1449,3.46,20,2,8,1,0
1014858,"High",29,20.51,21,8,6,1,0
1014859,"Low",1707,30.47,26,9,1,1,1
1014860,"Low",1033,99.56,16,3,2,3,0
1014861,"High",550,7.65,9,8,10,2,0
1014862,"Low",183,92.73,9,5,0,5,0
1014863,"High",1713,33.91,20,1,8,1,0
1014864,"Low",1165,41.03,29,2,0,1,0
1014865,"High",1006,79.59,18,7,1,4,0
1014866,"High",1735,63.92,24,4,0,1,0
1014867,"Low",240,38.95,21,5,9,0,0
1014868,"High",670,94.15,14,9,5,2,0
1014869,"Low",1607,92.58,26,10,1,2,1
1014870,"Low",1761,8.4,18,3,0,1,0
1014871,"High",1567,75.3,15,5,7,3,0
1014872,"High",1758,86.58,3,3,8,5,0
1014873,"High",357,38.02,25,7,8,4,0
1014874,"Low",1449,23.83,1,1,8,1,0
1014875,"Low",729,82.84,3,3,8,5,0
1014876,"High",160,7.83,2,7,5,0,0
1014877,"Low",271,49.47,25,9,0,4,0
1014878,"Low",1517,25.77,30,2,4,3,1
1014879,"Low",1502,24.93,12,2,0,5,0
1014880,"Low",770,66.96,8,7,7,5,0
1014881,"Low",1447,8.98,10,8,5,0,0
1014882,"High",1255,46.89,27,2,2,2,0
1014883,"Low",192,77.81,27,2,10,1,1
1014884,"High",936,9.8,22,9,1,4,0
1014885,"Low",67,38.31,15,6,2,2,0
1014886,"High",310,48.69,1,8,0,5,0
1014887,"Low",1461,72.24,15,1,8,0,0
1014888,"Low",10,57.81,25,4,9,5,0
1014889,"Low",672,4.13,13,11,5,2,0
1014890,"High",529,50.99,24,10,1,5,0
1014891,"Low",116,97.06,13,8,9,5,0
1014892,"High",202,79.44,28,10,9,3,1
1014893,"High",525,9.56,29,7,7,0,0
1014894,"Low",242,64.1,16,11,6,4,0
1014895,"Low",1430,69.56,30,2,3,5,1
1014896,"Low",910,49.4,7,5,3,5,0
1014897,"High",1667,19.04,1,0,10,5,0
1014898,"Low",46,22.08,9,2,8,1,0
1014899,"High",635,24.15,2,2,5,1,0
1014900,"High",1716,31.35,24,4,4,1,0
1014901,"Low",1049,36.33,19,10,9,1,1
1014902,"High",425,22.44,25,10,0,0,0
1014903,"Low",1472,82.65,6,9,6,2,0
1014904,"Low",448,66.1,10,11,4,4,0
1014905,"High",1148,51.06,5,6,9,4,0
1014906,"Low",1211,64.98,19,11,10,2,1
1014907,"Low",1117,5.74,23,10,5,5,1
1014908,"Low",987,89.64,14,10,3,2,0
1014909,"High",1623,67.38,15,5,2,3,0
1014910,"Low",1026,94.32,20,5,10,4,0
1014911,"Low",38,25.69,16,1,0,4,0
1014912,"High",882,16.7,14,0,1,2,0
1014913,"Low",1717,98.55,4,4,6,3,0
1014914,"High",1353,53.4,2,6,7,4,0
1014915,"High",675,40.15,24,5,3,4,0
1014916,"High",1591,95.45,26,8,4,5,0
1014917,"High",1322,36.22,29,4,6,1,1
1014918,"High",593,75.53,22,7,0,2,0
1014919,"High",731,43.61,17,11,8,5,0
1014920,"Low",1535,0.63,22,2,6,1,0
1014921,"Low",227,61.5,3,11,1,0,0
1014922,"Low",1628,76.7,18,6,7,4,0
1014923,"Low",776,59.56,24,8,8,1,1
1014924,"High",579,4.25,25,2,6,0,0
1014925,"Low",1451,56.16,3,4,4,4,0
1014926,"High",628,7.71,14,0,10,4,0
1014927,"High",54,93.6,20,8,9,3,0
1014928,"High",1046,94.46,24,6,10,4,0
1014929,"Low",932,26.63,9,2,10,5,0
1014930,"Low",131,4.63,13,3,8,3,0
1014931,"High",1545,72.03,29,0,8,4,1
1014932,"High",442,91.36,3,5,9,0,0
1014933,"Low",1312,89.37,25,3,3,1,1
1014934,"Low",1801,92.94,21,7,1,2,1
1014935,"Low",177,63.41,15,2,7,3,0
1014936,"Low",940,4.01,1,10,3,2,0
1014937,"Low",1674,58.51,9,10,1,0,0
1014938,"Low",934,56.42,7,8,8,5,0
1014939,"Low",273,85.87,29,4,1,4,0
1014940,"Low",256,36.18,7,5,2,4,0
1014941,"Low",515,49.92,17,10,10,4,0
1014942,"Low",1508,40.54,1,11,0,4,0
1014943,"High",1798,12.36,3,7,0,0,0
1014944,"Low",1529,95.86,11,10,3,5,0
1014945,"High",1088,94.07,7,2,5,4,0
1014946,"High",760,82.24,21,0,10,0,0
1014947,"High",1462,47.45,29,2,2,3,0
1014948,"Low",487,9.54,10,9,3,1,0
1014949,"Low",943,53.34,1,0,3,0,0
1014950,"High",173,5.29,11,10,6,2,0
1014951,"High",1452,8.46,9,11,0,0,0
1014952,"Low",1588,34.11,27,2,9,2,1
1014953,"High",47,11.13,25,10,1,0,0
1014954,"High",1382,67.96,26,7,8,0,1
1014955,"Low",1224,35.41,5,9,10,2,0
1014956,"Low",1065,27.18,26,4,8,0,1
1014957,"High",1364,7.76,16,8,3,3,0
1014958,"Low",1426,63.39,30,10,6,2,1
1014959,"Low",633,29.3,4,9,4,4,0
1014960,"High",604,44.13,8,1,5,2,0
1014961,"Low",731,82.91,15,4,0,3,0
1014962,"High",896,61.7,4,8,10,3,0
1014963,"High",1260,72.12,13,2,0,3,0
1014964,"High",1684,0.38,6,0,10,4,0
1014965,"Low",863,83.23,15,10,0,4,0
1014966,"High",89,85.06,16,4,5,4,0
1014967,"High",1532,43.27,26,11,0,3,0
1014968,"Low",1713,7.44,14,11,0,5,0
1014969,"High",613,52.34,9,4,1,4,0
1014970,"Low",388,70.97,17,9,8,2,0
1014971,"High",167,1.55,15,11,6,5,0
1014972,"Low",677,53.52,17,8,1,2,0
1014973,"Low",696,49.11,4,6,0,3,0
1014974,"Low",1121,98.3,10,11,9,4,0
1014975,"High",180,45.36,13,8,4,3,0
1014976,"High",695,90.46,13,6,5,1,0
1014977,"Low",1593,10.1,15,4,10,3,0
1014978,"Low",434,72.16,30,10,9,5,1
1014979,"Low",673,33.24,11,1,0,0,0
1014980,"High",926,48.94,19,7,3,2,0
1014981,"High",87,24.58,1,9,0,2,0
1014982,"High",563,47.4,20,5,9,5,0
1014983,"Low",447,68.82,28,3,4,0,1
1014984,"Low",474,15.29,5,5,2,1,0
1014985,"High",1462,71.28,12,11,2,4,0
1014986,"Low",1085,30.06,10,0,7,4,0
1014987,"Low",1459,35.45,28,2,4,5,1
1014988,"Low",1699,87.67,30,0,2,1,1
1014989,"High",806,23.01,20,9,10,0,0
1014990,"High",1704,25.85,1,9,1,4,0
1014991,"Low",144,54.7,29,5,6,0,0
1014992,"Low",466,14.27,22,4,4,0,0
1014993,"High",1076,65.05,29,0,3,0,0
1014994,"High",1549,63.88,11,8,2,3,0
1014995,"High",226,58.35,24,5,9,2,0
1014996,"Low",1448,82.33,3,10,2,1,0
1014997,"Low",1167,78.45,5,2,8,5,0
1014998,"High",1577,47.29,6,0,2,4,0
1014999,"High",808,90.44,27,3,0,4,0
1015000,"High",526,9.54,20,8,10,3,0
1015001,"Low",1154,68.41,9,0,0,1,0
1015002,"Low",1593,38.78,10,10,5,0,0
1015003,"High",1483,64.36,24,3,4,3,0
1015004,"High",700,17.85,19,9,1,4,0
1015005,"Low",1105,13.91,2,7,5,3,0
1015006,"High",1548,58.13,12,10,0,2,0
1015007,"High",442,65.85,28,2,4,1,0
1015008,"Low",1162,92.91,1,0,7,1,0
1015009,"Low",989,39.22,21,10,10,0,1
1015010,"High",1524,59.52,18,4,3,3,0
1015011,"Low",301,8.77,20,4,10,4,0
1015012,"High",1338,14,9,2,6,2,0
1015013,"High",1022,79.7,3,7,6,3,0
1015014,"High",1364,56.51,12,6,3,5,0
1015015,"Low",334,35.3,15,1,7,5,0
1015016,"High",442,12.16,4,0,5,5,0
1015017,"High",1584,10.76,1,8,10,1,0
1015018,"Low",631,84.02,18,2,2,1,0
1015019,"High",372,35.22,3,6,4,4,0
1015020,"Low",283,89.14,5,9,8,3,0
1015021,"Low",1650,81.29,25,4,7,3,1
1015022,"High",236,21.29,7,11,9,5,0
1015023,"Low",490,65.44,10,3,2,1,0
1015024,"High",1130,18.23,7,2,2,0,0
1015025,"Low",1171,26.16,18,6,3,3,0
1015026,"High",1670,7.21,23,7,9,4,0
1015027,"High",917,68.54,7,5,6,1,0
1015028,"Low",240,70.7,12,3,8,4,0
1015029,"High",25,57.76,14,7,6,4,0
1015030,"High",1248,40.67,26,2,0,3,0
1015031,"High",1319,7.56,25,1,8,0,0
1015032,"Low",1510,56.58,24,11,8,0,1
1015033,"High",131,96.39,28,10,2,1,0
1015034,"Low",157,10.61,22,9,5,1,0
1015035,"Low",1251,69.06,2,4,7,0,0
1015036,"Low",878,75.57,13,9,8,4,0
1015037,"High",301,93.68,14,6,5,0,0
1015038,"High",171,88.54,2,11,0,5,0
1015039,"High",411,50.79,10,0,4,4,0
1015040,"High",971,20.06,4,10,0,3,0
1015041,"Low",1284,73.23,16,9,9,0,0
1015042,"Low",129,16.74,8,11,5,5,0
1015043,"High",954,22.79,23,7,3,4,0
1015044,"High",6,22.42,29,2,1,1,0
1015045,"Low",1164,80.43,4,10,5,5,0
1015046,"High",862,91.35,17,5,8,1,0
1015047,"High",964,26.43,8,1,4,5,0
1015048,"Low",733,44.66,13,10,5,1,0
1015049,"High",901,41.75,12,2,1,4,0
1015050,"Low",1103,81.37,16,11,6,2,0
1015051,"Low",1213,25.52,3,8,8,5,0
1015052,"High",827,20.63,10,8,1,1,0
1015053,"High",62,69.12,21,0,5,2,0
1015054,"High",1088,10.91,1,4,3,1,0
1015055,"High",972,91.39,12,0,2,4,0
1015056,"Low",1199,11.41,13,4,3,3,0
1015057,"Low",702,97.95,8,0,7,2,0
1015058,"Low",1196,9.49,24,6,10,2,1
1015059,"Low",965,78.12,4,6,9,3,0
1015060,"High",1081,12.3,17,2,5,0,0
1015061,"Low",1284,19.58,4,4,7,3,0
1015062,"Low",302,33.89,2,11,7,0,0
1015063,"High",663,35.24,23,7,1,0,0
1015064,"Low",951,24.83,27,1,0,5,0
1015065,"High",1104,13.85,8,3,2,4,0
1015066,"High",568,5.14,22,2,0,5,0
1015067,"High",1379,26.47,26,8,4,4,0
1015068,"High",223,62.85,24,5,10,2,0
1015069,"Low",1760,19.46,5,0,3,2,0
1015070,"Low",911,42.43,27,8,9,3,1
1015071,"High",737,5.19,17,9,7,2,0
1015072,"Low",1010,75.65,6,9,4,2,0
1015073,"High",200,65.27,20,3,2,5,0
1015074,"Low",612,86.09,13,1,3,2,0
1015075,"High",1180,81.96,20,6,3,4,0
1015076,"High",789,76.72,30,3,6,1,0
1015077,"High",1763,76.84,6,11,7,5,0
1015078,"Low",784,51.47,19,9,1,5,0
1015079,"High",516,66.77,5,8,7,0,0
1015080,"High",107,82.63,1,0,3,5,0
1015081,"High",961,8.64,21,6,9,1,0
1015082,"High",17,76.61,22,0,4,2,0
1015083,"High",343,86.86,19,2,6,5,0
1015084,"High",22,26.1,21,2,4,0,0
1015085,"High",1364,67.92,8,1,10,3,0
1015086,"Low",504,27.43,25,4,9,5,1
1015087,"Low",1147,64.21,13,10,4,0,0
1015088,"High",298,75.39,22,6,10,4,0
1015089,"High",1052,1.79,5,9,6,3,0
1015090,"High",278,44.19,1,0,1,4,0
1015091,"High",1204,78.45,23,0,0,4,0
1015092,"High",1545,45.89,5,8,5,4,0
1015093,"High",616,0.76,20,2,6,4,0
1015094,"High",1193,96.35,2,8,9,3,0
1015095,"High",498,45.57,17,10,4,0,0
1015096,"High",1143,42.2,29,3,1,1,0
1015097,"Low",1259,39.23,8,6,3,1,0
1015098,"High",634,3.46,22,1,7,5,0
1015099,"Low",295,78.19,20,2,4,2,0
1015100,"High",1170,37.99,5,6,5,4,0
1015101,"High",1821,19.37,17,11,10,0,0
1015102,"Low",532,19.76,15,0,9,4,0
1015103,"Low",1010,64.76,12,3,5,5,0
1015104,"Low",1283,43.81,11,8,10,2,0
1015105,"Low",460,73.87,20,2,3,1,0
1015106,"Low",339,61.94,16,10,7,5,0
1015107,"Low",1389,76.91,21,3,8,4,1
1015108,"Low",1702,45.03,30,7,6,2,1
1015109,"Low",28,30.82,19,9,9,5,0
1015110,"Low",401,45.15,14,4,5,3,0
1015111,"High",1659,59.55,3,5,8,0,0
1015112,"Low",1764,80.19,2,1,1,2,0
1015113,"Low",720,30.14,22,2,4,1,0
1015114,"Low",1478,64.12,27,9,2,4,1
1015115,"Low",356,29.5,1,11,2,1,0
1015116,"Low",1090,44.72,5,1,7,0,0
1015117,"Low",834,45.54,6,9,10,3,0
1015118,"Low",652,67.38,3,10,10,2,0
1015119,"Low",242,79.23,5,1,3,0,0
1015120,"High",706,16.13,28,11,7,2,1
1015121,"High",1226,45.48,4,8,4,5,0
1015122,"Low",230,47.52,20,4,4,5,0
1015123,"Low",1597,50.18,18,9,4,5,0
1015124,"Low",971,38.11,30,7,1,0,1
1015125,"High",333,23.85,19,2,7,3,0
1015126,"Low",901,38.42,27,2,10,1,1
1015127,"Low",127,38.82,19,5,6,3,0
1015128,"High",1154,72.8,25,7,5,0,0
1015129,"High",1308,32.06,30,5,9,4,1
1015130,"Low",176,94.24,3,1,1,2,0
1015131,"Low",1188,88.25,14,1,2,5,0
1015132,"High",1738,97.5,20,2,10,5,0
1015133,"Low",1518,46.65,27,6,7,3,1
1015134,"Low",1399,88.61,27,7,4,5,1
1015135,"High",229,5.35,18,10,9,5,0
1015136,"High",538,46.5,7,8,5,2,0
1015137,"Low",382,30.29,17,3,0,1,0
1015138,"Low",1667,13.47,24,10,10,3,1
1015139,"Low",1102,91.75,11,1,3,4,0
1015140,"Low",886,31.34,2,4,10,5,0
1015141,"High",333,90.12,17,4,4,1,0
1015142,"Low",1495,66.42,21,3,8,0,1
1015143,"Low",1323,60.06,18,10,9,0,1
1015144,"High",1017,86.06,9,8,1,0,0
1015145,"High",1048,0.07,8,8,0,5,0
1015146,"High",897,47.88,1,1,4,3,0
1015147,"Low",622,24.37,5,6,10,0,0
1015148,"Low",895,47.96,15,5,7,1,0
1015149,"High",1448,17.08,30,5,8,0,1
1015150,"High",1120,17.96,21,3,7,1,0
1015151,"High",174,77.64,14,0,10,1,0
1015152,"High",1058,26.56,3,10,5,0,0
1015153,"High",993,42.4,14,1,5,0,0
1015154,"Low",449,15.25,4,2,2,1,0
1015155,"High",413,70.48,18,2,4,0,0
1015156,"High",1586,32.93,27,3,3,3,0
1015157,"Low",312,59.67,8,7,10,1,0
1015158,"Low",709,35.16,22,6,3,5,0
1015159,"High",107,81.11,2,10,3,3,0
1015160,"Low",1075,84.31,3,8,5,4,0
1015161,"High",911,60.47,19,6,2,1,0
1015162,"Low",393,31.96,10,1,8,2,0
1015163,"Low",475,12.28,15,1,3,2,0
1015164,"Low",1799,55.04,5,8,8,1,0
1015165,"High",1082,7.73,14,5,7,4,0
1015166,"Low",1176,77.92,28,0,4,3,1
1015167,"Low",267,59.52,7,6,9,4,0
1015168,"Low",136,39.22,24,1,9,3,0
1015169,"Low",742,51.46,27,5,5,2,1
1015170,"Low",1599,86.41,12,7,10,0,0
1015171,"High",1347,86.24,2,10,0,0,0
1015172,"High",1437,58.65,25,8,5,3,0
1015173,"High",1470,58.67,24,4,1,1,0
1015174,"Low",246,39.12,21,10,9,0,1
1015175,"High",572,65.18,9,10,10,5,0
1015176,"Low",883,18.14,28,4,2,0,1
1015177,"High",417,46.9,13,6,0,3,0
1015178,"High",1804,23.59,2,10,10,4,0
1015179,"Low",328,93.33,1,0,0,5,0
1015180,"High",263,88.35,7,10,4,4,0
1015181,"High",678,62.78,23,4,0,2,0
1015182,"Low",195,32.91,2,3,10,4,0
1015183,"Low",637,10.33,24,4,3,5,0
1015184,"Low",1665,36.14,3,8,9,4,0
1015185,"High",893,57.21,17,7,9,2,0
1015186,"Low",1590,25.99,14,3,10,1,0
1015187,"High",26,35.2,26,7,10,0,0
1015188,"Low",957,43.82,23,10,7,1,1
1015189,"High",843,41.33,5,2,5,1,0
1015190,"Low",20,32.67,19,9,3,0,0
1015191,"High",1676,59.49,23,10,9,4,1
1015192,"High",1256,99.31,12,0,6,1,0
1015193,"High",744,69.42,29,11,10,2,1
1015194,"Low",1670,35.58,27,5,5,1,1
1015195,"High",1524,17.2,26,10,0,3,0
1015196,"Low",591,41.27,20,4,5,5,0
1015197,"High",1736,75.01,19,5,6,0,0
1015198,"Low",1288,38.21,22,9,0,4,0
1015199,"Low",978,96.33,23,3,6,0,0
1015200,"Low",1471,79.46,7,5,2,4,0
1015201,"Low",1598,56.45,14,10,3,5,0
1015202,"High",1040,19.4,19,0,3,5,0
1015203,"High",905,21.71,28,9,8,1,1
1015204,"High",1470,4.83,16,2,0,0,0
1015205,"High",465,19.1,29,11,6,2,1
1015206,"Low",705,15.36,4,6,6,3,0
1015207,"Low",1447,22.9,17,6,10,1,0
1015208,"High",313,45.36,13,0,10,2,0
1015209,"Low",1372,9.28,29,5,0,4,0
1015210,"Low",1064,71.83,28,5,7,0,1
1015211,"High",1083,2.68,30,7,7,0,1
1015212,"Low",932,38.45,8,7,2,5,0
1015213,"High",808,85.25,18,2,4,4,0
1015214,"High",44,70.16,23,5,2,3,0
1015215,"Low",1561,34.16,16,2,2,5,0
1015216,"Low",77,65.8,7,5,8,3,0
1015217,"High",1517,96.61,8,1,6,3,0
1015218,"High",1710,16.45,25,7,1,2,0
1015219,"Low",1685,94.89,24,8,8,4,1
1015220,"High",711,95.95,8,2,4,3,0
1015221,"High",828,65,5,0,8,2,0
1015222,"Low",989,9.13,16,5,3,2,0
1015223,"High",1408,69.85,6,3,10,5,0
1015224,"Low",655,90.38,30,1,2,0,0
1015225,"Low",1595,93.11,22,0,8,1,1
1015226,"Low",1507,30.27,19,10,10,5,1
1015227,"High",1028,9.96,13,1,8,0,0
1015228,"High",1221,67.85,21,7,10,3,0
1015229,"Low",1460,19.97,5,1,3,5,0
1015230,"Low",555,32.51,17,0,9,5,0
1015231,"High",498,33.73,17,10,7,3,0
1015232,"Low",196,15.38,12,9,7,5,0
1015233,"High",64,7.46,13,0,8,0,0
1015234,"Low",1490,18.07,7,1,3,3,0
1015235,"Low",1221,43.38,1,3,4,2,0
1015236,"High",477,22.31,4,8,0,5,0
1015237,"High",893,13.45,6,4,2,0,0
1015238,"Low",1819,67.27,13,1,10,5,0
1015239,"High",860,43.02,9,9,10,3,0
1015240,"Low",545,74.05,14,1,2,2,0
1015241,"Low",439,18.74,30,3,9,4,1
1015242,"Low",92,39.21,24,4,3,3,0
1015243,"High",220,71.1,28,1,2,2,0
1015244,"High",224,91.51,19,6,2,2,0
1015245,"High",280,4.53,28,1,0,4,0
1015246,"Low",696,56.9,30,10,5,2,1
1015247,"High",1697,18.39,3,2,2,1,0
1015248,"Low",1349,48.95,29,5,3,3,1
1015249,"Low",1708,29.2,13,4,2,0,0
1015250,"Low",599,32.83,21,1,4,0,0
1015251,"High",1508,88.43,29,7,10,2,1
1015252,"Low",348,82,26,8,9,4,1
1015253,"Low",656,33,20,8,2,0,0
1015254,"Low",197,18.12,13,1,0,0,0
1015255,"High",10,69.94,30,2,10,1,0
1015256,"High",1368,85.3,5,6,5,0,0
1015257,"Low",1682,88.7,4,4,0,1,0
1015258,"Low",1443,95.95,18,10,4,0,0
1015259,"Low",1178,57.85,4,4,0,3,0
1015260,"High",1168,82.41,10,4,6,1,0
1015261,"High",1741,40.21,22,5,6,5,0
1015262,"Low",1503,34.13,24,1,2,1,0
1015263,"High",635,56.26,27,6,9,0,1
1015264,"Low",1004,43.91,29,10,4,4,1
1015265,"High",353,81.65,10,9,4,4,0
1015266,"Low",1119,94.93,13,0,3,3,0
1015267,"Low",1222,83.28,16,8,5,0,0
1015268,"High",681,18.43,12,3,9,0,0
1015269,"High",999,18.42,15,9,7,2,0
1015270,"Low",1657,7.44,15,0,0,3,0
1015271,"High",1544,96.13,29,2,3,5,0
1015272,"Low",345,86.13,18,11,5,5,0
1015273,"High",574,99.51,10,9,1,1,0
1015274,"Low",736,84.25,6,5,7,4,0
1015275,"Low",1082,49.73,15,1,1,1,0
1015276,"High",138,21.18,3,9,0,3,0
1015277,"High",844,94.33,10,1,8,1,0
1015278,"Low",1458,2.01,22,6,5,5,1
1015279,"High",498,23.19,2,10,2,0,0
1015280,"High",909,0.92,1,9,7,0,0
1015281,"Low",1637,22.98,3,7,9,2,0
1015282,"Low",14,8.41,25,8,8,5,0
1015283,"Low",407,26.87,10,9,0,1,0
1015284,"Low",409,66.88,29,2,8,2,1
1015285,"Low",654,57.19,29,11,10,4,1
1015286,"High",99,76.82,25,1,5,0,0
1015287,"Low",198,58.4,12,8,3,2,0
1015288,"Low",122,6.03,23,1,1,5,0
1015289,"High",841,8.61,18,8,4,1,0
1015290,"Low",768,43.29,27,8,7,4,1
1015291,"Low",1018,65.59,4,1,0,4,0
1015292,"Low",1366,81.81,29,5,6,3,1
1015293,"High",1686,97.34,1,9,5,3,0
1015294,"Low",824,96.33,21,6,9,4,1
1015295,"Low",466,61.85,9,0,3,5,0
1015296,"High",1265,96.79,30,7,5,1,1
1015297,"Low",1561,8.96,11,5,0,2,0
1015298,"High",774,62.74,9,1,7,3,0
1015299,"Low",988,6.16,14,9,10,4,0
1015300,"Low",1120,75.28,14,5,6,2,0
1015301,"Low",1445,10.5,24,5,4,4,0
1015302,"High",1657,55.57,24,10,2,1,0
1015303,"High",480,82.56,23,9,9,5,0
1015304,"Low",941,4.22,30,8,5,2,1
1015305,"Low",383,66.89,23,2,1,4,0
1015306,"Low",1071,91.2,18,3,3,2,0
1015307,"Low",1273,67.51,28,6,5,5,1
1015308,"Low",871,41.37,14,5,4,0,0
1015309,"Low",676,50.01,2,3,5,0,0
1015310,"Low",1335,13.5,16,7,3,2,0
1015311,"High",1536,96.56,19,9,3,5,0
1015312,"High",607,46.44,13,4,4,0,0
1015313,"Low",988,14.54,18,9,4,3,0
1015314,"High",1411,45.3,19,10,9,0,0
1015315,"High",771,53.7,18,2,6,4,0
1015316,"High",1805,47.93,17,2,3,2,0
1015317,"Low",307,63.34,13,3,0,3,0
1015318,"High",1602,76.17,22,8,6,0,0
1015319,"High",1072,39.55,1,8,9,5,0
1015320,"Low",284,44.77,16,0,7,3,0
1015321,"Low",1431,5.43,30,2,10,0,1
1015322,"High",417,2.44,11,8,10,4,0
1015323,"Low",1191,8.83,1,2,7,3,0
1015324,"High",430,34.89,30,0,1,0,0
1015325,"Low",345,45.45,14,8,5,5,0
